lat,lon,code
37.966099,124.630447,11A00101
37.966099,124.630447,11A00101
37.56609444,126.9774167,11B10101
37.42894444,126.9880167,11B10102
37.47844167,126.8644361,11B10103
37.707424,126.446571,11B20101
37.61444722,126.7197306,11B20102
37.477501,126.62458,11B20201
37.37993611,126.8038,11B20202
37.32045556,126.8293028,11B20203
37.50318056,126.7660028,11B20204
37.966099,124.630447,11A00101
37.56609444,126.9774167,11B10101
37.42894444,126.9880167,11B10102
37.47844167,126.8644361,11B10103
37.707424,126.446571,11B20101
37.61444722,126.7197306,11B20102
37.477501,126.62458,11B20201
37.37993611,126.8038,11B20202
37.32045556,126.8293028,11B20203
37.50318056,126.7660028,11B20204
37.73738056,127.0342278,11B20301
37.65725,126.8322806,11B20302
37.78399444,127.0468944,11B20304
37.85548333,126.7879917,11B20305
37.90318889,127.0621306,11B20401
37.97428056,126.7559667,11B20402
37.89391389,127.2005694,11B20403
37.827025,127.5035333,11B20404
37.59436667,127.129425,11B20501
37.635425,127.2167361,11B20502
37.48842778,127.4947083,11B20503
37.53944722,127.5394472,11B20504
37.272293,126.985367,11B20601
37.39327778,126.9561972,11B20602
37.15130278,127.0757083,11B20603
37.19773611,126.8294222,11B20604
37.44468611,127.1386694,11B20605
36.99145556,127.1127111,11B20606
37.345125,126.9684222,11B20609
37.36138333,126.9349167,11B20610
37.0087,127.2672,11B20611
37.23251667,127.1991611,11B20612
37.263981,127.4842,11B20701
37.41598056,127.2564222,11B20702
37.3,127.65,11B20703
36.970154,127.952759,11C10101
36.85810556,127.4371111,11C10102
36.94051667,127.69125,11C10103
37.13311667,128.1860278,11C10201
36.98929444,128.3581611,11C10202
36.63924,127.440659,11C10301
36.4888,127.7292389,11C10302
36.81514167,127.7873,11C10303
36.777975,127.5841389,11C10304
36.21470556,127.9986972,11C10401
36.17927222,127.7827806,11C10402
36.30584722,127.5715389,11C10403
36.78314167,126.4499778,11C20101
36.74471944,126.2984694,11C20102
36.89178611,126.6229528,11C20103
36.59989167,126.6632417,11C20104
36.33378056,126.6111333,11C20201
36.08142778,126.6918333,11C20202
36.80682222,127.1503806,11C20301
36.78672222,127.0026722,11C20302
36.6778,126.8,11C20303
36.34914444,127.3843389,11C20401
36.45636667,127.1231361,11C20402
36.3,127.23,11C20403
36.57,127.27,11C20404
36.27525,126.909675,11C20501
36.45886111,126.8029333,11C20502
36.10863889,127.4887556,11C20601
36.18795833,127.0946722,11C20602
38.14524444,127.3099528,11D10101
38.10594167,127.7047,11D10102
38.06893889,128.1703889,11D10201
38.11140278,127.9915972,11D10202
37.88135,127.7303972,11D10301
37.69771667,127.8894139,11D10302
37.35058333,127.9443167,11D10401
37.49147778,127.9842972,11D10402
37.18355833,128.4686778,11D10501
37.38161111,128.6621667,11D10502
37.37021111,128.3924889,11D10503
37.69144167,128.7605556,11D20201
37.16346667,128.9882028,11D20301
38.20719722,128.5922333,11D20401
38.38275833,128.4674944,11D20402
38.07529444,128.6186694,11D20403
37.75072778,128.8769944,11D20501
37.52471389,129.1146472,11D20601
37.44228333,129.1659306,11D20602
37.481007,130.898895,11E00101
37.2357,131.8794,11E00102
35.82382222,127.1520167,11F10201
35.94768889,126.9572389,11F10202
35.56986667,126.8554556,11F10203
35.9044,127.1619,11F10204
35.64680556,127.5210694,11F10301
36.00741667,127.6592861,11F10302
35.79163056,127.4247833,11F10303
35.41610833,127.3906722,11F10401
35.61070278,127.2818778,11F10402
35.37459444,127.1369417,11F10403
35.96581111,126.7364528,21F10501
35.80216667,126.87895,21F10502
35.43896111,126.7027222,21F10601
35.73229722,126.7378833,21F10602
35.06475833,126.5168556,21F20101
35.27624167,126.5116194,21F20102
34.48590556,126.263675,21F20201
34.39587,126.701836,11F20301
34.57273333,126.5905944,11F20302
34.64201667,126.7672278,11F20303
34.68233611,126.9095472,11F20304
34.758575,127.6619472,11F20401
34.94076111,127.6960611,11F20402
34.61268333,127.2822139,11F20403
34.77115278,127.0800333,11F20404
35.074982,127.239113,11F20405
35.16128056,126.9158417,11F20501
35.30156944,126.7853917,11F20502
35.01611667,126.7100278,11F20503
35.323025,126.99675,11F20504
35.0644,126.9866,11F20505
35.19909722,127.4639194,11F20601
35.28150556,127.2921861,11F20602
35.07691389,127.2351806,11F20603
34.687176,125.451042,11F20701
34.81271111,126.3925556,21F20801
34.79943611,126.6947111,21F20802
34.78866944,126.3775694,21F20803
34.99190833,126.4837528,21F20804
33.38220833,126.8796833,11G00101
33.486275,126.4979528,11G00201
33.3813,126.6214,11G00302
33.24612,126.565331,11G00401
33.293835,126.162827,11G00501
32.12295278,125.1824472,11G00601
33.9623,126.2978,11G00800
36.99308611,129.4005833,11H10101
36.533298,129.409393,11H10102
36.04694167,129.3687333,11H10201
35.84039444,129.2113722,11H10202
36.58631111,128.1867667,11H10301
36.4133,128.1531306,11H10302
36.657325,128.45245,11H10303
36.87183,128.516876,11H10401
36.93491667,128.9145667,11H10402
36.66618611,129.1116583,11H10403
36.56676111,128.7308417,11H10501
36.35233611,128.6974111,11H10502
36.43545833,129.0555861,11H10503
36.11930833,128.1187278,11H10601
36.11581667,128.3426556,11H10602
36.2427,128.573625,11H10707
35.72483056,128.2616861,11H10604
35.92236667,128.2816528,11H10605
35.87151944,128.6029722,11H10701
35.97662222,128.9411528,11H10702
35.82963889,128.7406361,11H10703
35.64765833,128.7345528,11H10704
35.996275,128.4054417,11H10705
35.53866667,129.3547361,11H20101
35.33502778,129.0364306,11H20102
35.104683,129.032013,11H20201
35.22753889,128.6819389,11H20301
35.22902778,128.8949639,11H20304
34.854025,128.4325639,11H20401
34.93409167,128.0826694,11H20402
34.878275,128.6237361,11H20403
34.97262222,128.3211028,11H20404
34.83682778,127.8929278,11H20405
35.52043611,127.7251944,11H20501
35.68631389,127.9092861,11H20502
35.56683056,128.1653278,11H20503
35.50239444,128.7463278,11H20601
35.32248333,128.2551528,11H20602
35.26715833,128.403975,11H20603
35.54436389,128.4915389,11H20604
35.19170278,128.0831694,11H20701
35.41442222,127.8727583,11H20703
35.06665278,127.7501083,11H20704
